Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá
120065,Bưu cục cấp 3 Giao dịch EMS Thanh Xuân 2,"Sô´212, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân",20.99703935,105.8034723,thanh xuân,7
118000,Bưu cục cấp 3 Cống Vị,"Sô´218, Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình",21.03790167,105.8090614,ba đình,13
111100,Bưu cục cấp 3 Cửa Nam,"Sô´22, Phố Cửa Nam, Phường Cửa Nam, Quận Hoàn Kiếm",21.02799153,105.8418634,hoàn kiếm,17
118518,Hòm thư Công cộng độc lập - 248 Kim Mã,"Sô´248, Phố Kim Mã, Phường Kim Mã, Quận Ba Đình",21.03198005,105.8236161,ba đình,19
111515,Hòm thư Công cộng độc lập phố Hàng Buồm,"Sô´28, Phố Mã Mây, Phường Hàng Buồm, Quận Hoàn Kiếm",21.03555325,105.8534485,hoàn kiếm,8
119511,Bưu cục cấp 3 Trung tâm dịch vụ Ba Đình,"Sô´281, Phố Đội Cấn, Phường Liễu Giai, Quận Ba Đình",21.03517878,105.8202341,ba đình,5
110201,Hòm thư Công cộng độc lập Thư viện Quốc gia,"Sô´31, Phố Tràng Thi, Phường Hàng Trống, Quận Hoàn Kiếm",21.02905807,105.8496358,hoàn kiếm,5
115000,Bưu cục cấp 2 Đống Đa,"Sô´35, Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa",21.00723615,105.8210928,đống đa,11
115356,Bưu cục cấp 3 Xã Đàn,"Sô´360/40, Phố Nam Đồng, Phường Nam Đồng, Quận Đống Đa",21.01381115,105.8333263,đống đa,19
122300,Bưu cục cấp 3 Hoàng Quốc Việt,"Sô´393, Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy",21.04601007,105.791191,cầu giấy,6
100995,Bưu cục Phát hành Báo chí KT VCBC 2,"Sô´4, Phố Lê Văn Linh, Phường Hàng Mã, Quận Hoàn Kiếm",21.03762619,105.8465941,hoàn kiếm,7
110513,Hòm thư Công cộng độc lập phố Nguyễn Chế Nghĩa,"Sô´4, Phố Nguyễn Chế Nghĩa, Phường Hàng Bài, Quận Hoàn Kiếm",21.02043008,105.8528632,hoàn kiếm,6
118734,Bưu cục cấp 3 EMS Cục Xuất Nhập Cảnh,"Sô´44-46, Phố Trần Phú, Phường Điện Biên, Quận Ba Đình",21.03162354,105.8379452,ba đình,16
118028,Bưu cục cấp 3 Đốc Ngữ,"Sô´440, Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình",21.03781757,105.8106133,ba đình,20
115070,Bưu cục cấp 3 [EMS] Đống Đa,"Sô´45 ngõ 9, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa",21.01912626,105.8272622,đống đa,6
122913,Bưu cục cấp 3 Doãn Kế Thiện,"Sô´46, Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy",21.04189495,105.7762638,cầu giấy,7
116700,Bưu cục cấp 3 Đặng Tiến Đông,"Sô´47, Phố Đặng Tiến Đông, Phường Trung Liệt, Quận Đống Đa",21.01166882,105.8244196,đống đa,11
114001,Hòm thư Công cộng độc lập Bệnh viện Thanh Nhàn,"Sô´48, Phố Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng",21.00312412,105.8527549,hai bà trưng,6
111000,Bưu cục cấp 3 Tháp Hà Nội,"Sô´49, Phố Hai Bà Trưng, Phường Trần Hưng Đạo, Quận Hoàn Kiếm",21.02643582,105.8455045,hoàn kiếm,16
118728,Bưu cục cấp 3 Nguyễn Thái Học,"Sô´49, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình",21.02915211,105.8406576,ba đình,13
130679,Bưu cục cấp 3 PHBC Postmart Phạm Hùng,"Sô´5, Thôn Phú Mỹ, Phường Mỹ Đình 2, Quận Nam Từ Liêm",21.03084838,105.7739875,nam từ liêm,12
130020,Bưu cục cấp 3 Đại Mỗ,"Sô´522, Tổ dân phố xóm Tháp, Phường Đại Mỗ, Quận Nam Từ Liêm",20.99576254,105.7532964,nam từ liêm,17
