Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá
128252,Bưu cục cấp 3 Kim Giang,"Sô´152, Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai",20.98079829,105.8178075,hoàng mai,17
118733,Bưu cục cấp 3 Giao dịch EMS Ba Đình 1,"Sô´152B, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình",21.03221728,105.8306531,ba đình,16
122000,Bưu cục cấp 2 Cầu Giấy,"Sô´165, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy",21.03264761,105.7983391,cầu giấy,5
124700,Bưu cục cấp 3 Yên Phụ,"Sô´16A, Phố Yên Phụ, Phường Yên Phụ, Quận Tây Hồ",21.05130171,105.838908,tây hồ,11
111400,Bưu cục cấp 3 Hàng Cót,"Sô´16D, Phố Phùng Hưng, Phường Cửa Đông, Quận Hoàn Kiếm",21.03219444,105.8449999,hoàn kiếm,11
118030,Bưu cục cấp 3 Bưu cục Đại sứ quán Mỹ,"Sô´170, Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình",21.02473063,105.8188342,ba đình,20
130690,Bưu cục cấp 3 Xuân Phương,"Sô´171, Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm",21.03597414,105.7383564,nam từ liêm,16
117130,Bưu cục cấp 3 [EMS] GD Thanh Xuân,"Sô´172, Đường Láng, Phường Thịnh Quang, Quận Đống Đa",21.00528174,105.81737,đống đa,13
112300,Bưu cục cấp 3 Chuyển Tiền,"Sô´18, Phố Nguyễn Du, Phường Bùi Thị Xuân, Quận Hai Bà Trưng",21.01863946,105.8507298,hai bà trưng,6
111300,Bưu cục cấp 3 Đồng Xuân,"Sô´18, Phố Đồng Xuân, Phường Đồng Xuân, Quận Hoàn Kiếm",21.03797029,105.8490644,hoàn kiếm,18
113900,Bưu cục cấp 3 Chợ Mơ,"Sô´185, Phố Minh Khai, Phường Trương Định, Quận Hai Bà Trưng",20.99537635,105.8572265,hai bà trưng,8
120700,Bưu cục cấp 3 Khương Mai,"Sô´185, Phố Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân",20.99804539,105.8227997,thanh xuân,15
113713,Bưu cục cấp 3 Giao dịch EMS Hai Bà Trưng 1,"Sô´186, Phố Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng",21.00885444,105.8641805,hai bà trưng,13
113068,Hòm thư Công cộng độc lập Trường Đại học KTQD,"Sô´187, Phố Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng",20.99906884,105.8460781,hai bà trưng,15
115545,Bưu cục cấp 3 [EMS] Cát Linh,"Sô´19, Phố Cát Linh, Phường Cát Linh, Quận Đống Đa",21.02896928,105.830768,đống đa,13
110019,Bưu cục cấp 3 PHBC Postmart Lê Thạch,"Sô´2, Phố Lê Thạch, Phường Tràng Tiền, Quận Hoàn Kiếm",21.02712965,105.8540599,hoàn kiếm,14
112310,Bưu cục cấp 3 Vân Hồ,"Sô´2, Phố Vân Hồ 3, Phường Lê Đại Hành, Quận Hai Bà Trưng",21.01084626,105.8459106,hai bà trưng,18
120120,Bưu cục cấp 3 Khương Đình,"Sô´20, Đường Khương Đình, Phường Thượng Đình, Quận Thanh Xuân",20.99735282,105.8142316,thanh xuân,13
120065,Bưu cục cấp 3 Giao dịch EMS Thanh Xuân 2,"Sô´212, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân",20.99703935,105.8034723,thanh xuân,7
118000,Bưu cục cấp 3 Cống Vị,"Sô´218, Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình",21.03790167,105.8090614,ba đình,13
111100,Bưu cục cấp 3 Cửa Nam,"Sô´22, Phố Cửa Nam, Phường Cửa Nam, Quận Hoàn Kiếm",21.02799153,105.8418634,hoàn kiếm,17
152570,Điểm BĐVHX Biên Giang,"Sô´237, Đường Biên Giang, Phường Biên Giang, Quận Hà Đông",20.93067116,105.7172711,hà đông,19
118518,Hòm thư Công cộng độc lập - 248 Kim Mã,"Sô´248, Phố Kim Mã, Phường Kim Mã, Quận Ba Đình",21.03198005,105.8236161,ba đình,19
124065,Bưu cục cấp 3 HCC Tây Hồ,"Sô´258, Đường vo chi cong, Phường Xuân La, Quận Tây Hồ",21.06894085,105.8084392,tây hồ,12
125656,Bưu cục cấp 3 Trung tâm dịch vụ Long Biên,"Sô´26, Ngõ 53, Phố Đức Giang, Phường Đức Giang, Quận Long Biên",21.06239012,105.8972499,long biên,15
152785,Bưu cục cấp 3 KHL EMS Nam Từ Liêm,"Sô´28, Lô nhà 0 số, Khu đô thị mới Mộ Lao, Phường Mỗ Lao, Quận Hà Đông",20.98390653,105.7813981,hà đông,5
111515,Hòm thư Công cộng độc lập phố Hàng Buồm,"Sô´28, Phố Mã Mây, Phường Hàng Buồm, Quận Hoàn Kiếm",21.03555325,105.8534485,hoàn kiếm,8
119511,Bưu cục cấp 3 Trung tâm dịch vụ Ba Đình,"Sô´281, Phố Đội Cấn, Phường Liễu Giai, Quận Ba Đình",21.03517878,105.8202341,ba đình,5
110201,Hòm thư Công cộng độc lập Thư viện Quốc gia,"Sô´31, Phố Tràng Thi, Phường Hàng Trống, Quận Hoàn Kiếm",21.02905807,105.8496358,hoàn kiếm,5
128180,Bưu cục cấp 3 KHL Hoàng Mai 2,"Sô´317, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai",20.9866851,105.8611772,hoàng mai,18
115000,Bưu cục cấp 2 Đống Đa,"Sô´35, Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa",21.00723615,105.8210928,đống đa,11
115356,Bưu cục cấp 3 Xã Đàn,"Sô´360/40, Phố Nam Đồng, Phường Nam Đồng, Quận Đống Đa",21.01381115,105.8333263,đống đa,19
125000,Bưu cục cấp 3 Long Biên,"Sô´366, Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên",21.04799062,105.8743768,long biên,18
152261,Điểm BĐVHX Văn Khê,"Sô´37, Phố Phan Đình Giót, Phường La Khê, Quận Hà Đông",20.96614031,105.7659128,hà đông,8
122300,Bưu cục cấp 3 Hoàng Quốc Việt,"Sô´393, Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy",21.04601007,105.791191,cầu giấy,6
100995,Bưu cục Phát hành Báo chí KT VCBC 2,"Sô´4, Phố Lê Văn Linh, Phường Hàng Mã, Quận Hoàn Kiếm",21.03762619,105.8465941,hoàn kiếm,7
110513,Hòm thư Công cộng độc lập phố Nguyễn Chế Nghĩa,"Sô´4, Phố Nguyễn Chế Nghĩa, Phường Hàng Bài, Quận Hoàn Kiếm",21.02043008,105.8528632,hoàn kiếm,6
151507,Bưu cục cấp 3 PHBC Postmart Hà Đông,"Sô´4, Phố Yết Kiêu, Phường Yết Kiêu, Quận Hà Đông",20.97508508,105.7796776,hà đông,9
118734,Bưu cục cấp 3 EMS Cục Xuất Nhập Cảnh,"Sô´44-46, Phố Trần Phú, Phường Điện Biên, Quận Ba Đình",21.03162354,105.8379452,ba đình,16
118028,Bưu cục cấp 3 Đốc Ngữ,"Sô´440, Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình",21.03781757,105.8106133,ba đình,20
115070,Bưu cục cấp 3 [EMS] Đống Đa,"Sô´45 ngõ 9, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa",21.01912626,105.8272622,đống đa,6
122913,Bưu cục cấp 3 Doãn Kế Thiện,"Sô´46, Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy",21.04189495,105.7762638,cầu giấy,7
116700,Bưu cục cấp 3 Đặng Tiến Đông,"Sô´47, Phố Đặng Tiến Đông, Phường Trung Liệt, Quận Đống Đa",21.01166882,105.8244196,đống đa,11
114001,Hòm thư Công cộng độc lập Bệnh viện Thanh Nhàn,"Sô´48, Phố Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng",21.00312412,105.8527549,hai bà trưng,6
111000,Bưu cục cấp 3 Tháp Hà Nội,"Sô´49, Phố Hai Bà Trưng, Phường Trần Hưng Đạo, Quận Hoàn Kiếm",21.02643582,105.8455045,hoàn kiếm,16
118728,Bưu cục cấp 3 Nguyễn Thái Học,"Sô´49, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình",21.02915211,105.8406576,ba đình,13
130679,Bưu cục cấp 3 PHBC Postmart Phạm Hùng,"Sô´5, Thôn Phú Mỹ, Phường Mỹ Đình 2, Quận Nam Từ Liêm",21.03084838,105.7739875,nam từ liêm,12
128540,Bưu cục cấp 3 HH Linh Đàm,"Sô´50, Lô nhà HH3C, Khu đô thị Bắc Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai",20.96392322,105.8277272,hoàng mai,12
130020,Bưu cục cấp 3 Đại Mỗ,"Sô´522, Tổ dân phố xóm Tháp, Phường Đại Mỗ, Quận Nam Từ Liêm",20.99576254,105.7532964,nam từ liêm,17
124600,Bưu cục cấp 3 Yên Thái,"Sô´552, Phố Thụy Khuê, Phường Bưởi, Quận Tây Hồ",21.04863359,105.8079419,tây hồ,19
120987,Bưu cục cấp 3 KHL EMS TMĐT 1,"Sô´565, Đường Vũ Tông Phan, Phường Khương Trung, Quận Thanh Xuân",20.98477766,105.81525,thanh xuân,19
119197,Hòm thư Công cộng độc lập phố Nghĩa Dũng,"Sô´57, Phố Nghĩa Dũng, Phường Phúc Xá, Quận Ba Đình",21.04787844,105.8473463,ba đình,10
100100,Bưu cục cấp 3 Quốc Tế,"Sô´6, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm",21.02627818,105.8535641,hoàn kiếm,12
110402,Hòm thư Công cộng độc lập Khách sạn Hilton Opera,"Sô´6, Phố Đặng Thái Thân, Phường Phan Chu Trinh, Quận Hoàn Kiếm",21.02311878,105.8582716,hoàn kiếm,19
110220,Bưu cục cấp 3 Lương Văn Can,"Sô´66, Phố Lương Văn Can, Phường Hàng Trống, Quận Hoàn Kiếm",21.03309467,105.8490702,hoàn kiếm,16
110000,Bưu cục cấp 2 Tràng Tiền,"Sô´66, Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm",21.02578733,105.853382,hoàn kiếm,15
124068,Bưu cục cấp 3 Lạc Long Quân,"Sô´665, Đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ",21.07093265,105.811856,tây hồ,12
112618,Bưu cục cấp 3 Giao dịch EMS Hai Bà Trưng 2,"Sô´67, Phố Ngô Thì Nhậm, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng",21.0141319,105.8536426,hai bà trưng,10
112617,Hòm thư Công cộng độc lập Khách sạn Nikko,"Sô´68, Phố Trần Nhân Tông, Phường Nguyễn Du, Quận Hai Bà Trưng",21.01784742,105.8423565,hai bà trưng,18
117127,Bưu cục cấp 3 Lãnh sự quán Mỹ MB,"Sô´7, Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa",21.02218032,105.8187276,đống đa,17
119346,Bưu cục cấp 3 Giao dịch EMS Ba Đình 2,"Sô´70, Phố Đốc Ngữ, Phường Vĩnh Phúc, Quận Ba Đình",21.04045927,105.8129384,ba đình,14
152611,Điểm BĐVHX Dương Nội,"Sô´73, Thôn La Nội, Phường Dương Nội, Quận Hà Đông",20.9799906,105.7485872,hà đông,9
111770,Bưu cục cấp 3 Bưu cục Giao dịch 5,"Sô´78, Đường Bạch Đằng, Phường Chương Dương Độ, Quận Hoàn Kiếm",21.0102273,105.8679702,hoàn kiếm,12
125400,Bưu cục cấp 3 Đức Giang,"Sô´79, Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên",21.05829046,105.8904547,long biên,8
122772,Bưu cục cấp 3 Hoàng Sâm,"Sô´8, Phố Hoàng Sâm, Phường Nghĩa Đô, Quận Cầu Giấy",21.04581489,105.7995332,cầu giấy,12
118600,Bưu cục cấp 3 Quán Thánh,"Sô´8, Phố Quán Thánh, Phường Nguyễn Trung Trực, Quận Ba Đình",21.04046002,105.8470108,ba đình,10
128181,Bưu cục cấp 3 Giải Phóng,"Sô´811, Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai",20.98319029,105.8414461,hoàng mai,5
152455,Bưu cục cấp 3 Ba La,"Sô´86, Tổ dân phố số 9, Phường Phú Lãm, Quận Hà Đông",20.95590733,105.7575956,hà đông,9
115490,Bưu cục cấp 3 Hoàng Cầu,"Sô´9, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa",21.01925427,105.8272787,đống đa,16
117000,Bưu cục cấp 3 Láng Trung,"Sô´95, Phố Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa",21.01925353,105.8081429,đống đa,9
122080,Bưu cục cấp 3 Trung tâm dịch vụ Cầu Giấy,"Sô´CT4-5, Phố Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy",21.02246419,105.7878923,cầu giấy,8
152415,Bưu cục cấp 3 KĐT Thanh Hà,"Sô´HH02A, Dãy nhà HH02A, Khu đô thị Thanh Hà CIENCO5, Phường Kiến Hưng, Quận Hà Đông",20.93210186,105.7840411,hà đông,11
130658,Bưu cục cấp 3 EMS KHL Từ Liêm,"Sô´Ngõ 84, Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm",21.03250106,105.7390944,nam từ liêm,15
152290,Bưu cục cấp 3 La Khê,"Sô´No09, Đường Lê Văn Lương kéo dài, Phường La Khê, Quận Hà Đông",21.00663266,105.8064207,hà đông,8
122320,Bưu cục cấp 3 Nghĩa Tân,"Sô´P100, Dãy nhà A15, Khu tập thể Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy",21.04492383,105.7944075,cầu giấy,8
112400,Bưu cục cấp 3 Bách Khoa,"Sô´P12-A17, Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng",21.00397069,105.8475064,hai bà trưng,13
123080,Bưu cục cấp 3 EMS Cầu Giấy,"Sô´T. N09,193, Đường Trung Kính, Phường Trung Hòa, Quận Cầu Giấy",21.01803779,105.7927856,cầu giấy,8
123071,Bưu cục cấp 3 EMS KHL Cầu Giấy,"Sô´Tòa N02, Ngõ 259, Phố Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy",21.02024639,105.7932248,cầu giấy,18
118800,Bưu cục cấp 3 Thanh Niên,"Số 1, Phố Trấn Vũ, Phường Trúc Bạch, Quận Ba Đình",21.04445498,105.8382919,ba đình,9
129731,Điểm BĐVHX Bưu điện Minh Khai,"Thôn Ngoạ Long, Xã Minh Khai, Quận Nam Từ Liêm",21.05124142,105.7454222,nam từ liêm,12
130301,Điểm BĐVHX Trung Văn,"Thôn Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm",20.99306736,105.7781855,nam từ liêm,11
128600,Điểm BĐVHX Thanh Trì,"Thôn Vĩnh Thuận, Phường Thanh Trì, Quận Hoàng Mai",20.99297483,105.8866564,hoàng mai,12
128400,Điểm BĐVHX Yên Sở,"Thôn Yên Duyên, Phường Yên Sở, Quận Hoàng Mai",20.96718657,105.8704812,hoàng mai,19
126000,Điểm BĐVHX Giang Biên,"Tổ 1, Phường Giang Biên, Quận Long Biên",21.06353169,105.9185042,long biên,11
125900,Điểm BĐVHX Thượng Thanh,"Tổ 10, Phường Thượng Thanh, Quận Long Biên",21.05645393,105.8880393,long biên,7
152351,Điểm BĐVHX Yên Nghĩa,"Tổ dân phố số 10 - Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông",20.95630262,105.7308827,hà đông,17
130000,Điểm BĐVHX Đại Mỗ,"Tổ dân phố xóm Tháp, Phường Đại Mỗ, Quận Nam Từ Liêm",20.9958654,105.7533298,nam từ liêm,5
129733,Bưu cục cấp 3 Bưu cục Thương mại điện tử Từ Liêm,"Đường 32, Xã Minh Khai, Quận Nam Từ Liêm",21.04011589,105.7649273,nam từ liêm,12
122801,Hòm thư Công cộng độc lập trường Đại học Thương mại,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy",21.03807658,105.7737483,cầu giấy,16
129140,Bưu cục cấp 3 Mỹ Đình 2,"Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm",21.04013822,105.7649456,nam từ liêm,20
125600,Bưu cục cấp 3 Sài Đồng,"Đường Nguyễn Văn Linh, Phường Sài Đồng, Quận Long Biên",21.02920053,105.9173729,long biên,20
126414,Bưu cục văn phòng BĐTT5,"Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên",21.06580943,105.8979284,long biên,15
143311,Bưu cục văn phòng VCKVMB-UPS,"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm",21.07832762,105.7866834,bắc từ liêm,19
152071,Bưu cục văn phòng BĐTT2,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông",20.97350071,105.7782493,hà đông,8
