lat,long,district
210135,1058020,cầu giấy
210342,1058507,hoàn kiếm
210059,1058312,đống đa
210781,1057864,nam từ liêm
209980,1058227,thanh xuân
210135,1058577,hai bà trưng
210197,1058166,ba đình
