lat,long,district
20.995,105.756,nam từ liêm
21.043,105.785,cầu giấy
21.007,105.809,thanh xuân
21.04,105.788,cầu giấy
21.041,105.788,cầu giấy
21.049,105.795,cầu giấy
21.026,105.817,ba đình
21.031,105.764,nam từ liêm
21.032,105.764,nam từ liêm
21.023,105.862,hoàn kiếm
20.993,105.757,nam từ liêm
20.995,105.755,nam từ liêm
20.994,105.755,nam từ liêm
20.99,105.815,thanh xuân
21.033,105.761,nam từ liêm
21.034,105.787,cầu giấy
21.031,105.762,nam từ liêm
21.008,105.812,cầu giấy
20.994,105.752,nam từ liêm
20.994,105.754,nam từ liêm
21.038,105.805,cầu giấy
21.041,105.81,ba đình
21.034,105.761,nam từ liêm
20.986,105.767,nam từ liêm
21.028,105.771,nam từ liêm
21.03,105.773,nam từ liêm
20.985,105.767,nam từ liêm
21.034,105.786,cầu giấy
20.994,105.847,hai bà trưng
20.987,105.793,nam từ liêm
21.004,105.743,nam từ liêm
21.034,105.762,nam từ liêm
21.032,105.801,cầu giấy
20.993,105.776,nam từ liêm
20.992,105.776,nam từ liêm
20.988,105.819,thanh xuân
20.991,105.772,nam từ liêm
20.99,105.772,nam từ liêm
21.013,105.766,nam từ liêm
20.994,105.82,thanh xuân
21.044,105.791,cầu giấy
21.051,105.806,cầu giấy
21.051,105.805,cầu giấy
21.052,105.806,cầu giấy
21.053,105.806,cầu giấy
21.052,105.805,cầu giấy
20.993,105.847,hai bà trưng
21.02,105.811,đống đa
21.038,105.803,cầu giấy
21.037,105.803,cầu giấy
21.022,105.819,ba đình
21.039,105.792,cầu giấy
21.027,105.857,hoàn kiếm
21.029,105.831,đống đa
21.016,105.806,đống đa
21.026,105.833,đống đa
20.985,105.769,nam từ liêm
21.029,105.778,nam từ liêm
21.007,105.791,cầu giấy
21.039,105.828,ba đình
21.013,105.804,cầu giấy
21.033,105.781,cầu giấy
21.048,105.804,cầu giấy
21.018,105.749,nam từ liêm
20.993,105.777,nam từ liêm
