lat,long,district,min_distances,po_code
21.046,105.75,bắc từ liêm,0.03166577738018742,143110
21.07,105.83,tây hồ,0.01816795453600164,124068
21.027,105.829,đống đa,0.002646485918805177,115545
21.046,105.8,cầu giấy,0.0005021632723510821,122772
21.064,105.831,tây hồ,0.014959379429778943,124700
20.967,105.842,hoàng mai,0.014600664197508186,128540
21.037,105.855,hoàn kiếm,0.0021213763957662413,111515
21.028,105.825,ba đình,0.003173883040630328,118400
20.992,105.955,,,
20.975,105.882,hoàng mai,0.006685801712766526,127800
20.962,105.834,hoàng mai,0.006561005640027262,128540
21.019,105.843,hai bà trưng,0.0013200503423774935,112617
21.015,105.797,cầu giấy,0.0051951261239801825,123080
21.006,105.834,đống đa,0.001805242462831989,116000
21.051,105.864,long biên,0.01080436699784665,125000
20.966,105.842,hoàng mai,0.014423100741810439,128540
21.023,105.842,hoàn kiếm,0.004907787619940104,111000
20.991,105.849,hai bà trưng,0.008581589512183801,113068
21.072,105.804,tây hồ,0.005391186823180023,124065
21.025,105.908,long biên,0.010271110294946874,125600
20.968,105.772,hà đông,0.005386052701414291,152150
20.995,105.845,hai bà trưng,0.00420924679195586,113068
21.035,105.748,nam từ liêm,0.0011669938075723383,129629
21.031,105.834,ba đình,0.0035613916112082326,118733
21.05,105.814,tây hồ,0.006210285975538999,124600
20.868,105.842,,,
20.975,105.883,hoàng mai,0.006126136183803531,127800
21.054,105.877,long biên,0.006556967761426827,125000
21.032,105.845,hoàn kiếm,0.0001944400257162189,111400
21.023,105.832,đống đa,0.006026704482790618,115490
21.022,105.777,nam từ liêm,0.009347137790488574,130679
21.06,105.894,long biên,0.003935947039988409,125400
21.03,105.916,long biên,0.0015887122744284684,125600
21.03,105.827,ba đình,0.003920634797136865,118518
21.031,105.855,hoàn kiếm,0.003982888039163673,110019
21.045,105.775,cầu giấy,0.0033523910783926237,122913
21.044,105.845,ba đình,0.0040712129691809155,118600
21.08,105.788,bắc từ liêm,0.002128447890925204,143311
21.209,105.842,,,
21.124,105.865,,,
20.996,105.83,thanh xuân,0.007485181383374932,120700
20.983,105.749,hà đông,0.003037579990715082,152611
20.99,105.836,thanh xuân,0.01545885572550543,120700
21.032,105.831,ba đình,0.0004093289733187631,118733
21.045,105.752,bắc từ liêm,0.029463030005277682,143110
21.045,105.82,tây hồ,0.012593679045372785,124600
21.064,105.83,tây hồ,0.015511255040266063,124700
21.072,105.798,bắc từ liêm,0.000591114288869057,143310
21.036,105.855,hoàn kiếm,0.0016145395047868158,111515
21.01,105.838,đống đa,0.0038689766540425307,116000
20.989,105.743,hà đông,0.010601230692711544,152611
21.015,105.746,nam từ liêm,0.018814207729361643,130658
21.019,105.82,đống đa,0.0034254104954572883,117127
20.981,105.818,hoàng mai,0.00027882462965078615,128252
21.068,105.834,tây hồ,0.0174046359606896,124700
21.032,105.826,ba đình,0.002383983475716835,118518
20.99,105.837,thanh xuân,0.016321054510726806,120700
20.972,105.894,hoàng mai,0.011463439472629648,127800
20.994,105.844,hai bà trưng,0.005478287921935276,113068
21.037,105.83,ba đình,0.004827105779697658,118733
21.03,105.846,hoàn kiếm,0.002411590123465996,111400
21.03,105.908,long biên,0.009406933968671559,125600
20.987,105.806,,,
21.073,105.827,tây hồ,0.015284458512563319,124068
21.052,105.878,long biên,0.00540395283329207,125000
21.024,105.886,long biên,0.026657993664648213,125000
20.998,105.826,thanh xuân,0.003200621868017098,120700
21.046,105.84,ba đình,0.002303191787585426,118800
21.051,105.738,bắc từ liêm,0.04360778841209819,143610
21.061,105.894,long biên,0.0035347253958972163,125656
21.042,105.821,tây hồ,0.014646449805258836,124600
20.875,105.863,,,
21.043,105.84,ba đình,0.0022437852861652984,118800
21.031,105.845,hoàn kiếm,0.0011944400041886338,111400
21.052,105.813,tây hồ,0.006075943704321288,124600
20.971,105.894,hoàng mai,0.012206373111725963,127800
21.028,105.91,long biên,0.007470001786546623,125600
21.05,105.89,long biên,0.006745187687150189,125900
21.02,105.743,nam từ liêm,0.013096954320895055,130658
20.997,105.882,hoàng mai,0.006155002395523843,128600
21.198,105.83,,,
21.074,105.776,bắc từ liêm,0.0020126276839259965,143610
21.034,105.851,hoàn kiếm,0.00036728518469954723,110307
20.995,105.779,nam từ liêm,0.002097261933946854,130301
20.996,105.748,nam từ liêm,0.005301720495415762,130020
21.029,105.845,hoàn kiếm,0.002613338730897042,111000
21.02,105.826,đống đa,0.0014802658284573237,115490
21.046,105.799,cầu giấy,0.0005644182421680579,122772
21.052,105.809,tây hồ,0.0035287805114622753,124600
21.019,105.835,đống đa,0.005452103815270702,115356
20.977,105.784,hà đông,0.00045349633251595727,151090
21.013,105.82,đống đa,0.004615723600092697,116700
21.067,105.791,bắc từ liêm,0.008019296484260294,143310
20.869,105.841,,,
20.977,105.853,hoàng mai,0.01267547876216392,128180
21.019,105.836,đống đa,0.0058371941900634446,115356
20.987,105.852,hoàng mai,0.0059595335976027385,127580
21.009,105.801,cầu giấy,0.004666830010229521,123075
21.006,105.804,cầu giấy,0.00779696237931228,123075
21.008,105.804,cầu giấy,0.005882188567567914,123075
20.992,105.862,hoàng mai,0.005378211770654931,128180
20.974,105.833,hoàng mai,0.0075344795724487925,128200
21.047,105.869,long biên,0.005467294232463472,125000
20.975,105.849,hoàng mai,0.011141914354999487,128181
20.964,105.821,hoàng mai,0.006727638144876932,128540
21.074,105.772,bắc từ liêm,0.004669075946487257,143610
21.045,105.818,tây hồ,0.010694313998475759,124600
21.05,105.79,bắc từ liêm,0.01644643235147776,143110
21.043,105.839,ba đình,0.0016181385634120996,118800
20.981,105.801,,,
21.008,105.827,đống đa,0.004485387870898957,116700
20.991,105.848,hai bà trưng,0.008294569220616377,113068
21.014,105.746,nam từ liêm,0.019559899928172135,130000
21.027,105.825,đống đa,0.006094906703012584,115545
21.013,105.807,cầu giấy,0.004984329678548431,123075
21.046,105.87,long biên,0.004808216532593329,125000
21.056,105.836,tây hồ,0.0055254314694992155,124700
21.006,105.805,thanh xuân,0.00908994585861282,120065
21.064,105.911,long biên,0.007518798567330634,126000
21.065,105.912,long biên,0.006667874616100156,126000
21.042,105.84,ba đình,0.0029907411139054167,118800
20.924,105.759,,,
21.068,105.81,tây hồ,0.001822442142434375,124065
21.054,105.901,long biên,0.009190068749707654,125656
21.07,105.813,tây hồ,0.0014759986526046247,124068
20.966,105.869,hoàng mai,0.001897867699524155,128400
21.055,105.837,tây hồ,0.004161467640640055,124700
21.051,105.807,cầu giấy,0.009090570276508475,122772
21.019,105.819,ba đình,0.002482772210652731,118977
20.964,105.796,,,
21.054,105.812,tây hồ,0.006728040717625353,124600
21.06,105.897,long biên,0.002403148689616513,125656
21.054,105.865,long biên,0.011137191128123261,125000
21.036,105.852,hoàn kiếm,0.0015158290841936553,111515
20.996,105.86,hai bà trưng,0.002842752464165137,113900
20.997,105.843,hai bà trưng,0.003708746224207786,113068
21.023,105.859,hoàn kiếm,0.0007380211706990821,110402
20.997,105.747,nam từ liêm,0.006416849710843567,130020
21.082,105.819,tây hồ,0.013172811849505717,124068
20.991,105.737,hà đông,0.01598343180296913,152611
21.033,105.783,cầu giấy,0.004071734606085326,123105
21.011,105.847,hai bà trưng,0.0011001946862237162,112310
21.056,105.902,long biên,0.007962228558911322,125656
21.055,105.84,tây hồ,0.0038561396401184823,124700
21.032,105.851,hoàn kiếm,0.002218655099130567,110220
21.019,105.84,đống đa,0.008453545765688865,115356
21.035,105.854,hoàn kiếm,0.0007811771966075411,111515
21.028,105.844,hoàn kiếm,0.002136616788500021,111100
21.025,105.859,hoàn kiếm,0.0020173138695779324,110402
21.042,105.79,cầu giấy,0.00418319762919192,122300
21.068,105.826,tây hồ,0.01444483201778878,124068
21.044,105.817,tây hồ,0.010174445041275184,124600
20.967,105.78,hà đông,0.0028938907550846104,152150
20.969,105.878,hoàng mai,0.007734396020692461,128400
21.031,105.817,ba đình,0.005284089807942602,119511
20.99,105.865,hoàng mai,0.005059877651678522,128180
20.996,105.819,thanh xuân,0.004315245108000882,120700
21.026,105.834,đống đa,0.00438890051361066,115545
