lat,long,district,min_distances,po_code
21.042,105.79,cầu giấy,0.0041831976291919,122300.0
21.031,105.817,ba đình,0.0052840898079426,119511.0
20.996,105.819,thanh xuân,0.0043152451080008,120700.0
21.026,105.834,đống đa,0.0043889005136106,115545.0
21.018,105.85,hai bà trưng,0.0009703180569283,112300.0
21.027,105.848,hoàn kiếm,0.0025584798850833,111000.0
21.021,105.827,đống đa,0.0017678367919285,115490.0
20.988,105.798,nam từ liêm,0.0204522015347843,130301.0
21.019,105.834,đống đa,0.005232402508648,115356.0
21.038,105.758,nam từ liêm,0.0072432365543387,129733.0
21.034,105.763,nam từ liêm,0.0049917765112277,129049.0
21.032,105.849,hoàn kiếm,0.0010969186154408,110220.0
21.01,105.836,đống đa,0.0027308204535606,116000.0
21.02,105.792,cầu giấy,0.0012493370530434,123071.0
20.997,105.827,thanh xuân,0.0043284362467351,120700.0
21.038,105.825,ba đình,0.0055383287279194,119511.0
21.004,105.851,hai bà trưng,0.0019613362242066,114001.0
21.018,105.819,ba đình,0.0029306582622307,118977.0
21.016,105.841,đống đa,0.0079797704235439,115356.0
21.01,105.804,cầu giấy,0.0040506372763317,123075.0
21.014,105.856,hai bà trưng,0.0018490145625508,113100.0
21.04,105.845,ba đình,0.0020627493886639,118600.0
21.004,105.838,đống đa,0.0044652727071846,116000.0
21.042,105.82,ba đình,0.0068252359005704,119511.0
21.03,105.769,nam từ liêm,0.0050591407249039,130679.0
21.042,105.775,cầu giấy,0.0012681584847621,122913.0
21.017,105.85,hai bà trưng,0.0017945576423181,112300.0
21.018,105.796,cầu giấy,0.0032146221308466,123080.0
21.005,105.76,nam từ liêm,0.0113107243446216,130000.0
21.008,105.811,cầu giấy,0.0105336386089803,123075.0
21.021,105.831,đống đa,0.0041104314764959,115490.0
21.032,105.824,ba đình,0.0003844180179206,118518.0
20.995,105.856,hai bà trưng,0.0012829425445058,113900.0
20.997,105.752,nam từ liêm,0.0017480518299012,130000.0
20.995,105.815,thanh xuân,0.0024751162623988,120120.0
21.009,105.802,cầu giấy,0.0045483516073837,123075.0
21.022,105.855,hoàn kiếm,0.0026515208930731,110513.0
21.019,105.827,đống đa,0.0002910161981832,115070.0
21.029,105.837,đống đa,0.0062320757150699,115545.0
20.995,105.858,hai bà trưng,0.0008601985657466,113900.0
21.017,105.831,đống đa,0.003947206102102,115356.0
21.017,105.819,đống đa,0.0051874769457231,117127.0
21.019,105.852,hoàn kiếm,0.0016704020613021,110513.0
21.017,105.827,đống đa,0.0021423656148303,115070.0
21.01,105.853,hai bà trưng,0.0031585665256371,112200.0
21.017,105.818,đống đa,0.0052311678488093,117127.0
20.995,105.859,hai bà trưng,0.0018129924358627,113900.0
21.031,105.821,ba đình,0.0027936494433788,118518.0
21.04,105.844,ba đình,0.0030457404749055,118600.0
20.997,105.753,nam từ liêm,0.0011815604935857,130000.0
21.032,105.823,ba đình,0.0006164229169185,118518.0
21.018,105.818,ba đình,0.002198171478746,118977.0
20.997,105.811,thanh xuân,0.0032508030565308,120120.0
20.994,105.807,thanh xuân,0.0046564273550175,120065.0
21.027,105.862,hoàn kiếm,0.005381898851558,110402.0
21.025,105.82,ba đình,0.0011965157069125,118030.0
21.018,105.791,cầu giấy,0.001785999844378,123080.0
21.008,105.802,cầu giấy,0.0055483098637695,123075.0
21.007,105.802,cầu giấy,0.0065482808693864,123075.0
21.049,105.8,cầu giấy,0.0032191346588953,122772.0
21.049,105.799,cầu giấy,0.0032294315215057,122772.0
21.017,105.805,đống đa,0.0038673269671577,117000.0
21.01,105.823,đống đa,0.0021909414306211,116700.0
20.998,105.752,nam từ liêm,0.0025149324444261,130000.0
21.01,105.852,hai bà trưng,0.0031568564263959,112200.0
21.013,105.83,đống đa,0.0034237751112594,115356.0
21.03,105.855,hoàn kiếm,0.0030203802960102,110019.0
21.019,105.85,hai bà trưng,0.000814000695087,112300.0
20.995,105.753,nam từ liêm,0.0008181199249487,130020.0
20.998,105.789,nam từ liêm,0.011886309251382,130301.0
21.033,105.821,ba đình,0.0023094772348731,119511.0
21.042,105.818,ba đình,0.0052909019545777,119346.0
21.033,105.739,nam từ liêm,0.0005077917718897,130658.0
21.032,105.739,nam từ liêm,0.0005098749685955,130658.0
20.992,105.814,thanh xuân,0.0053578279659196,120120.0
21.019,105.842,hai bà trưng,0.0012064546847665,112617.0
21.03,105.857,hoàn kiếm,0.0041089046146792,110019.0
21.024,105.837,đống đa,0.007970669213958,115545.0
21.031,105.847,hoàn kiếm,0.0022567561907273,111212.0
21.036,105.817,ba đình,0.0033367356950177,119511.0
21.009,105.856,hai bà trưng,0.0048488508795906,113100.0
20.997,105.862,hai bà trưng,0.0050420771089389,113900.0
21.027,105.831,đống đa,0.0019828988169818,115545.0
21.007,105.811,thanh xuân,0.0101740513323053,120120.0
20.99,105.77,nam từ liêm,0.0087413447260583,130301.0
21.036,105.812,ba đình,0.0022861534495509,118028.0
21.02,105.744,nam từ liêm,0.0134291255293727,130658.0
21.011,105.822,đống đa,0.0025103355059399,116700.0
21.027,105.834,đống đa,0.0037846912315762,115545.0
20.982,105.819,thanh xuân,0.0046666792342705,120987.0
20.998,105.753,nam từ liêm,0.0021599271284023,130000.0
21.038,105.853,hoàn kiếm,0.0024875163944198,111515.0
21.029,105.828,đống đa,0.0027681704641184,115545.0
21.033,105.847,hoàn kiếm,0.0017287187464662,111212.0
21.029,105.848,hoàn kiếm,0.001636830401999,110201.0
21.042,105.817,ba đình,0.0043440123725544,119346.0
20.996,105.742,nam từ liêm,0.0112988955306002,130020.0
21.017,105.83,đống đa,0.0034664867557161,115070.0
21.031,105.842,ba đình,0.0022840173405861,118728.0
21.006,105.746,nam từ liêm,0.0125074411931509,130000.0
21.037,105.794,cầu giấy,0.0061458187023507,122000.0
21.033,105.819,ba đình,0.0025040137975592,119511.0
21.04,105.846,ba đình,0.0011105561851649,118600.0
21.022,105.793,cầu giấy,0.0017679601443731,123071.0
21.02,105.81,đống đa,0.0020015088985265,117000.0
21.026,105.862,hoàn kiếm,0.0047119417704799,110402.0
21.036,105.788,cầu giấy,0.003782980663757,123105.0
21.004,105.836,đống đa,0.0035252035898069,116000.0
21.047,105.848,ba đình,0.0010949796909545,119197.0
20.985,105.763,nam từ liêm,0.0144911048651166,130020.0
21.025,105.851,hoàn kiếm,0.0025087472030655,110000.0
21.026,105.847,hoàn kiếm,0.0015577096399426,111000.0
21.048,105.84,ba đình,0.0039350695559781,118800.0
21.005,105.761,nam từ liêm,0.0119278198007798,130000.0
21.009,105.854,hai bà trưng,0.0043844135864312,112200.0
21.032,105.828,ba đình,0.0026619823831908,118733.0
21.031,105.822,ba đình,0.0018900468810272,118518.0
21.03,105.771,nam từ liêm,0.0031056247156433,130679.0
20.99,105.802,thanh xuân,0.0071916698834491,120065.0
20.997,105.801,thanh xuân,0.0024726131344125,120065.0
21.034,105.833,ba đình,0.0029472071878907,118733.0
20.996,105.849,hai bà trưng,0.0042373669366281,113068.0
21.025,105.854,hoàn kiếm,0.001000905854167,110000.0
21.017,105.849,hai bà trưng,0.0023832828475809,112300.0
20.994,105.774,nam từ liêm,0.0042881496731857,130301.0
21.041,105.779,cầu giấy,0.0028788410762847,122913.0
21.041,105.84,ba đình,0.0038541526189827,118800.0
21.029,105.842,ba đình,0.0013509904559603,118728.0
21.032,105.848,hoàn kiếm,0.0015308920435168,110220.0
21.019,105.839,đống đa,0.0076886303079629,115356.0
21.028,105.845,hoàn kiếm,0.0016435264897172,111000.0
20.996,105.752,nam từ liêm,0.0013179682134261,130020.0
21.019,105.744,nam từ liêm,0.0143646626303469,130658.0
21.041,105.839,ba đình,0.0035267963380951,118800.0
21.027,105.836,đống đa,0.0055903387838582,115545.0
21.037,105.778,cầu giấy,0.0043858838774525,122801.0
20.996,105.753,nam từ liêm,0.000356209488927,130000.0
20.998,105.801,thanh xuân,0.0026523792550215,120065.0
21.033,105.827,ba đình,0.0035342718079569,118518.0
21.007,105.812,thanh xuân,0.0099019250912356,120120.0
21.012,105.81,đống đa,0.0074874907593184,117000.0
21.019,105.81,đống đa,0.0018743259777538,117000.0
21.02,105.851,hoàn kiếm,0.0019121932555079,110513.0
21.008,105.861,hai bà trưng,0.0032932731383225,113713.0
21.035,105.75,nam từ liêm,0.0031394067189367,129629.0
21.031,105.859,hoàn kiếm,0.0062756830012745,110019.0
21.038,105.854,hoàn kiếm,0.0025081343290389,111515.0
21.042,105.784,cầu giấy,0.0051559269489018,123105.0
21.005,105.841,hai bà trưng,0.0065873150855399,112400.0
21.024,105.848,hoàn kiếm,0.0034872251608361,111000.0
21.035,105.845,hoàn kiếm,0.0024967956473049,111212.0
21.014,105.807,đống đa,0.0053764112445869,117000.0
21.039,105.846,hoàn kiếm,0.0014967660893079,100995.0
21.004,105.761,nam từ liêm,0.0111805046934347,130000.0
21.025,105.846,hoàn kiếm,0.001518913862733,111000.0
21.026,105.84,đống đa,0.0096977547771811,115545.0
21.037,105.846,hoàn kiếm,0.00047065980283,111413.0
21.016,105.853,hai bà trưng,0.0019755334393539,112618.0
21.032,105.834,ba đình,0.0033539454689036,118733.0
20.996,105.836,thanh xuân,0.0133578269318761,120700.0
21.039,105.774,cầu giấy,0.0009571088686293,122801.0
21.015,105.824,đống đa,0.0033575026958143,116700.0
21.021,105.85,hoàn kiếm,0.0029193703167707,110513.0
21.022,105.837,đống đa,0.0089751510300691,115356.0
21.021,105.863,hoàn kiếm,0.0051814086162398,110402.0
20.99,105.804,thanh xuân,0.0070591016222001,120065.0
20.99,105.771,nam từ liêm,0.0078128168812342,130301.0
21.047,105.842,ba đình,0.0044974584389826,118800.0
21.033,105.831,ba đình,0.0008561484733373,118733.0
20.993,105.753,nam từ liêm,0.0027783952583483,130020.0
21.03,105.845,hoàn kiếm,0.0021944400022787,111400.0
21.015,105.822,đống đa,0.0041171864607254,116700.0
21.037,105.854,hoàn kiếm,0.0015483015896455,111515.0
21.033,105.818,ba đình,0.0031206225498079,119511.0
21.024,105.827,đống đa,0.0047539064907605,115490.0
21.012,105.836,đống đa,0.0032293863213476,115356.0
21.005,105.752,nam từ liêm,0.00923088756296,130000.0
21.03,105.823,ba đình,0.0020736868646214,118518.0
21.012,105.821,đống đa,0.0034355995622897,116700.0
21.016,105.83,đống đa,0.0039818759413726,115356.0
21.024,105.811,đống đa,0.0055400359088101,117000.0
21.016,105.798,cầu giấy,0.004730858520855,123075.0
21.04,105.816,ba đình,0.0030958558579103,119346.0
21.039,105.823,ba đình,0.0047171946216389,119511.0
21.032,105.817,ba đình,0.0045347596516678,119511.0
20.996,105.773,nam từ liêm,0.0059573305783455,130301.0
21.004,105.75,nam từ liêm,0.0087897261163274,130000.0
21.039,105.822,ba đình,0.0042095278949607,119511.0
21.02,105.85,hoàn kiếm,0.0028953208883373,110513.0
21.015,105.857,hai bà trưng,0.0016837324171344,113100.0
21.019,105.838,đống đa,0.0069833828487687,115356.0
21.01,105.831,đống đa,0.0040086554603775,116177.0
21.018,105.803,đống đa,0.0052934636931786,117000.0
20.993,105.816,thanh xuân,0.0046983274164771,120120.0
21.034,105.855,hoàn kiếm,0.002195390127635,111515.0
21.033,105.85,hoàn kiếm,0.0009346071093724,110220.0
21.012,105.829,đống đa,0.0045923571673326,116700.0
21.025,105.861,hoàn kiếm,0.0033140843755769,110402.0
21.048,105.842,ba đình,0.0051300265506485,118800.0
21.037,105.777,cầu giấy,0.0034252850080605,122801.0
21.023,105.837,đống đa,0.0086296076225021,115545.0
20.998,105.839,thanh xuân,0.0162003635867196,120700.0
21.02,105.829,đống đa,0.0018758962985455,115490.0
20.993,105.754,nam từ liêm,0.0028507332761285,130020.0
21.034,105.827,ba đình,0.0039409360832814,118518.0
21.012,105.826,đống đa,0.0016147273306607,116700.0
21.026,105.86,hoàn kiếm,0.0033598802431649,110402.0
20.998,105.838,thanh xuân,0.0152003677699514,120700.0
21.018,105.816,ba đình,0.0018216360366425,118977.0
20.996,105.848,hai bà trưng,0.0036209775690554,113068.0
21.02,105.823,đống đa,0.0043432000786172,115490.0
21.042,105.785,cầu giấy,0.0051917610405726,123105.0
21.007,105.832,đống đa,0.0012800463272845,116177.0
21.024,105.84,đống đa,0.0104844440824644,115545.0
21.021,105.809,đống đa,0.0019454505572965,117000.0
21.032,105.832,ba đình,0.0013643130903008,118733.0
21.019,105.858,hai bà trưng,0.0054950482120268,113100.0
21.008,105.813,thanh xuân,0.0107181752417274,120120.0
21.014,105.86,hai bà trưng,0.0022709590160309,113100.0
21.035,105.751,nam từ liêm,0.0041355621802781,129629.0
20.996,105.8,thanh xuân,0.0036245159280234,120065.0
21.027,105.844,hoàn kiếm,0.0016068040709531,111000.0
20.996,105.806,thanh xuân,0.0027330414765448,120065.0
20.991,105.771,nam từ liêm,0.0074769905456465,130301.0
21.022,105.85,hoàn kiếm,0.0032653580272973,110513.0
21.015,105.785,nam từ liêm,0.019298867968722,130679.0
20.998,105.817,thanh xuân,0.0028430407159178,120120.0
21.004,105.855,hai bà trưng,0.002409904517704,114001.0
21.031,105.8,cầu giấy,0.0023394887309146,122000.0
