Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá,number_of_order,average_1,average_2
143610,Bưu cục cấp 3 Đức Thắng,"Sô´14, Đường Phố Viên, Phường Đức Thắng, Quận Bắc Từ Liêm",21.07199929,105.7762187,bắc từ liêm,16,148,9.25,0.10810810810810811
152440,Bưu cục cấp 3 Phú Lãm,"Sô´141, Phố Xốm, Phường Phú Lãm, Quận Hà Đông",20.94395575,105.7568764,hà đông,14,12,0.8571428571428571,1.1666666666666667
111212,Đại lý bưu điện Phùng Hưng,"Sô´143, Phố Phùng Hưng, Phường Cửa Đông, Quận Hoàn Kiếm",21.03252612,105.8453375,hoàn kiếm,18,11,0.6111111111111112,1.6363636363636365
129000,Bưu cục cấp 2 Cầu Diễn 2,"Sô´149, Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm",21.04035513,105.7650008,nam từ liêm,14,2,0.14285714285714285,7.0
152797,Bưu cục cấp 3 KHL EMS Hà Đông,"Sô´15, Phố Văn La, Phường Phú La, Quận Hà Đông",20.95669766,105.7639231,hà đông,14,13,0.9285714285714286,1.0769230769230769
128252,Bưu cục cấp 3 Kim Giang,"Sô´152, Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai",20.98079829,105.8178075,hoàng mai,17,58,3.411764705882353,0.29310344827586204
118733,Bưu cục cấp 3 Giao dịch EMS Ba Đình 1,"Sô´152B, Phố Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình",21.03221728,105.8306531,ba đình,16,44,2.75,0.36363636363636365
122000,Bưu cục cấp 2 Cầu Giấy,"Sô´165, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy",21.03264761,105.7983391,cầu giấy,5,60,12.0,0.08333333333333333
124700,Bưu cục cấp 3 Yên Phụ,"Sô´16A, Phố Yên Phụ, Phường Yên Phụ, Quận Tây Hồ",21.05130171,105.838908,tây hồ,11,110,10.0,0.1
111400,Bưu cục cấp 3 Hàng Cót,"Sô´16D, Phố Phùng Hưng, Phường Cửa Đông, Quận Hoàn Kiếm",21.03219444,105.8449999,hoàn kiếm,11,7,0.6363636363636364,1.5714285714285714
118030,Bưu cục cấp 3 Bưu cục Đại sứ quán Mỹ,"Sô´170, Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình",21.02473063,105.8188342,ba đình,20,34,1.7,0.5882352941176471
130690,Bưu cục cấp 3 Xuân Phương,"Sô´171, Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm",21.03597414,105.7383564,nam từ liêm,16,13,0.8125,1.2307692307692308
117130,Bưu cục cấp 3 [EMS] GD Thanh Xuân,"Sô´172, Đường Láng, Phường Thịnh Quang, Quận Đống Đa",21.00528174,105.81737,đống đa,13,16,1.2307692307692308,0.8125
112300,Bưu cục cấp 3 Chuyển Tiền,"Sô´18, Phố Nguyễn Du, Phường Bùi Thị Xuân, Quận Hai Bà Trưng",21.01863946,105.8507298,hai bà trưng,6,24,4.0,0.25
111300,Bưu cục cấp 3 Đồng Xuân,"Sô´18, Phố Đồng Xuân, Phường Đồng Xuân, Quận Hoàn Kiếm",21.03797029,105.8490644,hoàn kiếm,18,16,0.8888888888888888,1.125
113900,Bưu cục cấp 3 Chợ Mơ,"Sô´185, Phố Minh Khai, Phường Trương Định, Quận Hai Bà Trưng",20.99537635,105.8572265,hai bà trưng,8,43,5.375,0.18604651162790697
120700,Bưu cục cấp 3 Khương Mai,"Sô´185, Phố Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân",20.99804539,105.8227997,thanh xuân,15,61,4.066666666666666,0.2459016393442623
113713,Bưu cục cấp 3 Giao dịch EMS Hai Bà Trưng 1,"Sô´186, Phố Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng",21.00885444,105.8641805,hai bà trưng,13,38,2.923076923076923,0.34210526315789475
113068,Hòm thư Công cộng độc lập Trường Đại học KTQD,"Sô´187, Phố Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng",20.99906884,105.8460781,hai bà trưng,15,38,2.533333333333333,0.39473684210526316
115545,Bưu cục cấp 3 [EMS] Cát Linh,"Sô´19, Phố Cát Linh, Phường Cát Linh, Quận Đống Đa",21.02896928,105.830768,đống đa,13,68,5.230769230769231,0.19117647058823528
110019,Bưu cục cấp 3 PHBC Postmart Lê Thạch,"Sô´2, Phố Lê Thạch, Phường Tràng Tiền, Quận Hoàn Kiếm",21.02712965,105.8540599,hoàn kiếm,14,27,1.9285714285714286,0.5185185185185185
112310,Bưu cục cấp 3 Vân Hồ,"Sô´2, Phố Vân Hồ 3, Phường Lê Đại Hành, Quận Hai Bà Trưng",21.01084626,105.8459106,hai bà trưng,18,18,1.0,1.0
120120,Bưu cục cấp 3 Khương Đình,"Sô´20, Đường Khương Đình, Phường Thượng Đình, Quận Thanh Xuân",20.99735282,105.8142316,thanh xuân,13,55,4.230769230769231,0.23636363636363636
120065,Bưu cục cấp 3 Giao dịch EMS Thanh Xuân 2,"Sô´212, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân",20.99703935,105.8034723,thanh xuân,7,79,11.285714285714286,0.08860759493670886
118000,Bưu cục cấp 3 Cống Vị,"Sô´218, Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình",21.03790167,105.8090614,ba đình,13,36,2.769230769230769,0.3611111111111111
111100,Bưu cục cấp 3 Cửa Nam,"Sô´22, Phố Cửa Nam, Phường Cửa Nam, Quận Hoàn Kiếm",21.02799153,105.8418634,hoàn kiếm,17,10,0.5882352941176471,1.7
152570,Điểm BĐVHX Biên Giang,"Sô´237, Đường Biên Giang, Phường Biên Giang, Quận Hà Đông",20.93067116,105.7172711,hà đông,19,17,0.8947368421052632,1.1176470588235294
118518,Hòm thư Công cộng độc lập - 248 Kim Mã,"Sô´248, Phố Kim Mã, Phường Kim Mã, Quận Ba Đình",21.03198005,105.8236161,ba đình,19,31,1.631578947368421,0.6129032258064516
124065,Bưu cục cấp 3 HCC Tây Hồ,"Sô´258, Đường vo chi cong, Phường Xuân La, Quận Tây Hồ",21.06894085,105.8084392,tây hồ,12,52,4.333333333333333,0.23076923076923078
125656,Bưu cục cấp 3 Trung tâm dịch vụ Long Biên,"Sô´26, Ngõ 53, Phố Đức Giang, Phường Đức Giang, Quận Long Biên",21.06239012,105.8972499,long biên,15,59,3.933333333333333,0.2542372881355932
152785,Bưu cục cấp 3 KHL EMS Nam Từ Liêm,"Sô´28, Lô nhà 0 số, Khu đô thị mới Mộ Lao, Phường Mỗ Lao, Quận Hà Đông",20.98390653,105.7813981,hà đông,5,0,0.0,-1.0
