"Trạm y tế thị trấn Sóc Sơn, Phố Thân Nhân Trung, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam",21.258,105.852
"UBND - Trạm y tế xã Tân Hưng, ĐT.296, Huyện Sóc Sơn, Thành phố Hà Nội, 26920, Việt Nam",21.303,105.9
"UBND xã Bắc Phú, ĐT.296, Huyện Sóc Sơn, Thành phố Hà Nội, 26920, Việt Nam",21.276,105.891
"Điểm đỗ xe buýt Núi Đôi, Đường Núi Đôi, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam",21.257,105.868
"Đài phát thanh huyện Sóc Sơn, 3, Đường Đa Phúc, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam",21.257,105.847
"Đường vào thôn Đồng Giá, Đường tỉnh 131, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam",21.226,105.78
"Đền Họ Mạc, Ham Lon Lake to Fire Road, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam",21.301,105.801
"Đối diện Km 0+500 - Tỉnh lộ 296, ĐT.296, Huyện Sóc Sơn, Thành phố Hà Nội, 26920, Việt Nam",21.261,105.871
"Đối diện Km 2+250 - Tỉnh lộ 296, ĐT.296, Huyện Sóc Sơn, Thành phố Hà Nội, 26920, Việt Nam",21.27,105.883
"Đối diện UBND xã Bắc Phú, ĐT.296, Huyện Sóc Sơn, Thành phố Hà Nội, 26920, Việt Nam",21.277,105.891
"Đối diện gần UBND xã Tân Minh, ĐT.296, Huyện Sóc Sơn, Thành phố Hà Nội, 26920, Việt Nam",21.264,105.878
"Ủy Ban Nhân Dân Huyện Sóc Sơn, Đường Núi Đôi, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam",21.257,105.849
